"year","month","energy_demand"
2012,1,2344455.844
2012,2,2097207.91
2012,3,2027025.402
2012,4,1751532.128
2012,5,2152838.082
2012,6,2620564.387
2012,7,3050925.016
2012,8,2719843.78
2012,9,2104484.359
2012,10,1979039.818
2012,11,2014956.5
2012,12,2164994.203
2013,1,2294354.049
2013,2,2095941.132
2013,3,1960002.367
2013,4,1815469.755
2013,5,2328104.621
2013,6,2693668.626
2013,7,3128471.556
2013,8,2918977.954
2013,9,2434223.162
2013,10,2081372.621
2013,11,1899534.191
2013,12,2654231.262
2014,1,2859728.574
2014,2,2019746.72
2014,3,2057001.519
2014,4,2020685.222
2014,5,2533463.45
2014,6,2990643.84
2014,7,3190631.673
2014,8,2762756.377
2014,9,2235260.305
2014,10,2284471.105
2014,11,2094007.006
2014,12,2419510.688
2015,1,2645772.793
2015,2,2389562.083
2015,3,2638098.503
2015,4,2114765.354
2015,5,2508491.219
2015,6,3024640.718
2015,7,3397660.891
2015,8,2909445.413
2015,9,2683649.429
2015,10,2584671.975
2015,11,2106823.851
2015,12,2783978.017
2016,1,2923262.337
2016,2,2922214.837
2016,3,2418633.78
2016,4,2511355.536
2016,5,3446938.72
2016,6,3214625.732
2016,7,3186061.792
2016,8,2686773.521
2016,9,2487089.793
2016,10,2105159.475
2016,11,1969768.337
2016,12,2585398.828
2017,1,2734295.492
2017,2,2386948.892
2017,3,2348707.999
2017,4,2073727.774
2017,5,2671970.379
2017,6,3195997.427
2017,7,3176748.336
2017,8,2690398.254
2017,9,2292193.988
2017,10,2028916.844
2017,11,1885540.32
2017,12,2369667.358
2018,1,2644259.152
2018,2,2360937.388
2018,3,2101221.644
2018,4,1913190.589
2018,5,2207859.971
2018,6,3133634.945
2018,7,3504865.076
2018,8,3028305.14
2018,9,1976497.052
2018,10,1947914.283
2018,11,1854510.736
2018,12,2105488.8
2019,1,2701989.472
2019,2,2211666.188
2019,3,1872285.954
2019,4,1761007.29
2019,5,2306341.043
2019,6,2635709.49
2019,7,3350869.696
2019,8,2956563.678
2019,9,2303401.046
2019,10,2118075.798
2019,11,2008224.238
2019,12,2249780.528
2020,1,2611030.255
2020,2,2253263.371
